tokens,text_unit_component,row,split,row_position,start_dist,end_dist,backward,forward,anterior_passage
火势,"[[26, 27]]",[0],0,middle,10,1,"[""\u7a81\u7136\u53d1\u751f"", ""\u706b\u707e"", ""\u3002""]","[""\u8fc5\u901f"", ""<EOR>""]","""\u5357\u901a\u5e02\u5d07\u5ddd\u533a\u89c2\u9633\u540d\u90b8\u5c0f\u533a\u7684\u4e00\u5c45\u6c11\u697c\u7a81\u7136\u53d1\u751f\u706b\u707e\u3002"""
迅速,"[[28, 29]]",[0],0,row_end,11,0,"[""\u706b\u707e"", ""\u3002"", ""\u706b\u52bf""]","[""<EOR>""]","""\u5357\u901a\u5e02\u5d07\u5ddd\u533a\u89c2\u9633\u540d\u90b8\u5c0f\u533a\u7684\u4e00\u5c45\u6c11\u697c\u7a81\u7136\u53d1\u751f\u706b\u707e\u3002\u706b\u52bf"""
蔓延,"[[0, 1]]",[1],0,row_start,0,14,"[""<SOR>""]","[""\uff0c"", ""\u70df\u96fe\u5f25\u6f2b"", ""\uff0c""]","""\u5357\u901a\u5e02\u5d07\u5ddd\u533a\u89c2\u9633\u540d\u90b8\u5c0f\u533a\u7684\u4e00\u5c45\u6c11\u697c\u7a81\u7136\u53d1\u751f\u706b\u707e\u3002\u706b\u52bf\u8fc5\u901f"""
，,[[2]],[1],0,middle,1,13,"[""<SOR>"", ""\u8513\u5ef6""]","[""\u70df\u96fe\u5f25\u6f2b"", ""\uff0c"", ""\u60c5\u51b5""]","""\u5357\u901a\u5e02\u5d07\u5ddd\u533a\u89c2\u9633\u540d\u90b8\u5c0f\u533a\u7684\u4e00\u5c45\u6c11\u697c\u7a81\u7136\u53d1\u751f\u706b\u707e\u3002\u706b\u52bf\u8fc5\u901f\u8513\u5ef6"""
烟雾弥漫,"[[3, 4, 5, 6]]",[1],0,middle,2,12,"[""<SOR>"", ""\u8513\u5ef6"", ""\uff0c""]","[""\uff0c"", ""\u60c5\u51b5"", ""\u5341\u5206\u5371\u6025""]","""\u706b\u52bf\u8fc5\u901f\u8513\u5ef6\uff0c"""
，,[[7]],[1],0,middle,3,11,"[""\u8513\u5ef6"", ""\uff0c"", ""\u70df\u96fe\u5f25\u6f2b""]","[""\u60c5\u51b5"", ""\u5341\u5206\u5371\u6025"", ""\u3002""]","""\u706b\u52bf\u8fc5\u901f\u8513\u5ef6\uff0c\u70df\u96fe\u5f25\u6f2b"""
情况,"[[8, 9]]",[1],0,middle,4,10,"[""\uff0c"", ""\u70df\u96fe\u5f25\u6f2b"", ""\uff0c""]","[""\u5341\u5206\u5371\u6025"", ""\u3002"", ""\u5f20\u5bb6\u6c49""]","""\u70df\u96fe\u5f25\u6f2b\uff0c"""
十分危急,"[[10, 11, 12, 13]]",[1],0,middle,5,9,"[""\u70df\u96fe\u5f25\u6f2b"", ""\uff0c"", ""\u60c5\u51b5""]","[""\u3002"", ""\u5f20\u5bb6\u6c49"", ""\u6b63\u5728""]","""\u70df\u96fe\u5f25\u6f2b\uff0c\u60c5\u51b5"""
。,[[14]],[1],0,middle,6,8,"[""\uff0c"", ""\u60c5\u51b5"", ""\u5341\u5206\u5371\u6025""]","[""\u5f20\u5bb6\u6c49"", ""\u6b63\u5728"", ""\u5c0f\u533a""]","""\u70df\u96fe\u5f25\u6f2b\uff0c\u60c5\u51b5\u5341\u5206\u5371\u6025"""
张家汉,"[[15, 16, 17]]",[1],0,middle,7,7,"[""\u60c5\u51b5"", ""\u5341\u5206\u5371\u6025"", ""\u3002""]","[""\u6b63\u5728"", ""\u5c0f\u533a"", ""\u503c\u73ed""]","""\u60c5\u51b5\u5341\u5206\u5371\u6025\u3002"""
