tokens,text_unit_component,row,split,row_position,start_dist,end_dist,backward,forward,anterior_passage
，,[[11]],[3],0,middle,6,9,"[""\u6709\u7684"", ""\u751c"", ""\u4e00\u4e9b""]","[""\u6709\u7684"", ""\u6c14\u6ce1"", ""\u591a""]","""\u53d1\u9175\u7a0b\u5ea6\u548c\u5404\u79cd\u5fae\u751f\u7269\u7684\u6d3b\u6027\u4e0d\u4e00\u6837\uff0c\u6709\u7684\u751c\u4e00\u4e9b"""
有的,"[[12, 13]]",[3],0,middle,7,8,"[""\u751c"", ""\u4e00\u4e9b"", ""\uff0c""]","[""\u6c14\u6ce1"", ""\u591a"", ""\u4e00\u6b21""]","""\u6709\u7684\u751c\u4e00\u4e9b\uff0c"""
气泡,"[[14, 15]]",[3],0,middle,8,7,"[""\u4e00\u4e9b"", ""\uff0c"", ""\u6709\u7684""]","[""\u591a"", ""\u4e00\u6b21"", ""\uff0c""]","""\u6709\u7684\u751c\u4e00\u4e9b\uff0c\u6709\u7684"""
多,[[16]],[3],0,middle,9,6,"[""\uff0c"", ""\u6709\u7684"", ""\u6c14\u6ce1""]","[""\u4e00\u6b21"", ""\uff0c"", ""\u6709\u7684""]","""\u6709\u7684\u751c\u4e00\u4e9b\uff0c\u6709\u7684\u6c14\u6ce1"""
一次,"[[17, 18]]",[3],0,middle,10,5,"[""\u6709\u7684"", ""\u6c14\u6ce1"", ""\u591a""]","[""\uff0c"", ""\u6709\u7684"", ""\u9178""]","""\u6709\u7684\u751c\u4e00\u4e9b\uff0c\u6709\u7684\u6c14\u6ce1\u591a"""
，,[[19]],[3],0,middle,11,4,"[""\u6c14\u6ce1"", ""\u591a"", ""\u4e00\u6b21""]","[""\u6709\u7684"", ""\u9178"", ""\u4e00\u4e9b""]","""\u6709\u7684\u751c\u4e00\u4e9b\uff0c\u6709\u7684\u6c14\u6ce1\u591a\u4e00\u6b21"""
有的,"[[20, 21]]",[3],0,middle,12,3,"[""\u591a"", ""\u4e00\u6b21"", ""\uff0c""]","[""\u9178"", ""\u4e00\u4e9b"", ""\u3002""]","""\u6709\u7684\u6c14\u6ce1\u591a\u4e00\u6b21\uff0c"""
酸,[[22]],[3],0,middle,13,2,"[""\u4e00\u6b21"", ""\uff0c"", ""\u6709\u7684""]","[""\u4e00\u4e9b"", ""\u3002"", ""<EOR>""]","""\u6709\u7684\u6c14\u6ce1\u591a\u4e00\u6b21\uff0c\u6709\u7684"""
一些,"[[23, 24]]",[3],0,middle,14,1,"[""\uff0c"", ""\u6709\u7684"", ""\u9178""]","[""\u3002"", ""<EOR>""]","""\u6709\u7684\u6c14\u6ce1\u591a\u4e00\u6b21\uff0c\u6709\u7684\u9178"""
。,[[25]],[3],0,row_end,15,0,"[""\u6709\u7684"", ""\u9178"", ""\u4e00\u4e9b""]","[""<EOR>""]","""\u6709\u7684\u6c14\u6ce1\u591a\u4e00\u6b21\uff0c\u6709\u7684\u9178\u4e00\u4e9b"""
